id,origin id,destiny id,directed,weight,points of interest
179,124,125,false,90.57,|
180,125,111,false,69.81,|
181,103,113,false,138.57,|
182,113,114,false,168.26,|
183,113,112,false,235.85,|
184,111,118,false,321.20,|
185,124,115,false,302.67,|
186,115,117,false,46.57,|
187,115,116,false,45.18,|
188,117,116,false,28.43,|
189,117,118,false,86.11,|
190,114,119,false,416.71,Cruz do Patrão|
191,116,120,false,256.67,|
192,118,121,false,239.86,|
193,119,120,false,82.99,|
194,120,121,false,102.79,|
195,119,122,false,159.17,|
196,120,123,false,150.79,|
197,122,123,false,67.82,|
198,15,25,false,57.71,Igreja Madre de Deus|
